"01"|REFERENCIA|VALOR|FECHA|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5
"02"|"242823"|27611|2023-01-01 09:18:52|||||
"02"|"242824"|25495|2023-01-01 09:18:52|||||
"02"|"242825"|25491|2023-01-01 09:18:52|||||
"02"|"242826"|26113|2023-01-01 09:18:52|||||
"02"|"242826"|26113|2023-01-01 09:19:52|||||
"02"|"242829"|26113|2023-01-01 09:18:52|||||
"02"|"242830"|26113|2023-01-01 09:18:52|||||
"02"|"242831"|26113|2023-01-01 09:18:52|||||
"02"|"242832"|26113|2023-01-01 09:18:52|||||
"02"|"242833"|26113|2023-01-01 09:18:52|||||
"02"|"242834"|26113|2023-01-01 09:20:52|||||
"02"|"242834"|26113|2023-01-01 09:18:52|||||
"02"|"242836"|29500|2023-01-01 09:18:52|||||
"02"|"242837"|28378|2023-01-01 09:18:52|||||
"02"|"242838"|26113|2023-01-01 09:18:52|||||
"02"|"242839"|26113|2023-01-01 09:18:52|||||
"02"|"242840"|28228|2023-01-01 09:18:52|||||
"02"|"242842"|26113|2023-01-01 09:18:52|||||
"02"|"242843"|26113|2023-01-01 09:18:52|||||
"02"|"242844"|26113|2023-01-01 09:18:52|||||
"02"|"242845"|44753|2023-01-01 09:18:52|||||
"02"|"242846"|59306|2023-01-01 09:18:52|||||
"02"|"242847"|26113|2023-01-01 09:18:52|||||
"02"|"242849"|74982|2023-01-01 09:18:52|||||
"02"|"242850"|40386|2023-01-01 09:18:52|||||
"02"|"436669"|26567,96|2023-01-01 09:18:52|||||
"02"|"436673"|18867,41|2023-01-01 09:18:52|||||
"02"|"436735"|16243,04|2023-01-01 09:18:52|||||
"02"|"436735"|16619,89|2023-01-01 09:18:52|||||
"02"|"436776"|16619,89|2023-01-01 09:18:52|||||
"02"|"436852"|18418,8|2023-01-01 09:18:52|||||
"02"|"436871"|18418,8|2023-01-01 09:18:52|||||
"02"|"436990"|16243,04|2023-01-01 09:18:52|||||
"02"|"437003"|18867,41|2023-01-01 09:18:52|||||
"02"|"437016"|18867,41|2023-01-01 09:18:52|||||
"02"|"437019"|18867,41|2023-01-01 09:18:52|||||
"02"|"437024"|16619,89|2023-01-01 09:18:52|||||
"02"|"437088"|16243,04|2023-01-01 09:18:52|||||
"02"|"437101"|26567,96|2023-01-01 09:18:52|||||
"02"|"437140"|26567,96|2023-01-01 09:18:52|||||
"02"|"437145"|26567,96|2023-01-01 09:18:52|||||
"02"|"437247"|26567,96|2023-01-01 09:18:52|||||
"02"|"437366"|16243,04|2023-01-01 09:18:52|||||
"02"|"437390"|26567,96|2023-01-01 09:18:52|||||
"02"|"437394"|50000|2023-01-01 09:18:52|||||
"02"|"437472"|64883,73|2023-01-01 09:18:52|||||
"02"|"437487"|18867,41|2023-01-01 09:18:52|||||
"02"|"437508"|18867,41|2023-01-01 09:18:52|||||
"02"|"437543"|16243,04|2023-01-01 09:18:52|||||
"02"|"437591"|18867,41|2023-01-01 09:18:52|||||
"03"|1|32971|2022-12-12 12:27:19|||||
