"01"|REFERENCIA|VALOR|FECHA|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5
"02"|"241858"|63258|2022-12-15 09:17:52|||||
"02"|"241859"|53969|2022-12-15 09:17:52|||||
"02"|"241859"|26113|2022-12-15 09:15:52|||||
"02"|"241861"|28229|2022-12-15 09:17:52|||||
"02"|"241862"|226150|2022-12-15 09:17:52|||||
"02"|"241863"|28382|2022-12-15 09:17:52|||||
"02"|"241864"|50000|2022-12-15 09:17:52|||||
"02"|"241865"|25495|2022-12-15 09:17:52|||||
"02"|"241865"|25495|2022-12-15 09:18:52|||||
"02"|"241868"|28228|2022-12-15 09:17:52|||||
"02"|"455397"|16243|2022-12-15 09:17:52|||||
"02"|"455398"|16243|2022-12-15 09:17:52|||||
"02"|"455399"|16243|2022-12-15 09:17:52|||||
"02"|"455400"|16243|2022-12-15 09:17:52|||||
"02"|"455400"|16243|2022-12-15 09:16:52|||||
"02"|"455402"|16243|2022-12-15 09:17:52|||||
"02"|"455403"|16243|2022-12-15 09:17:52|||||
"02"|"455404"|16243|2022-12-15 09:17:52|||||
"02"|"455405"|16243|2022-12-15 09:17:52|||||
"02"|"455407"|16243|2022-12-15 09:17:52|||||
"03"|1|32971|2022-12-12 12:27:19|||||
