ANIO_FACTURACION;MES_FACTURACION;CONCEPTO;CLIENTE;FECHA_GRABACION;BANCO;EXTRACTO;VALOR_PAGO
2022;11;411;429958225;2-Nov-22;X4;19206220;45
2022;11;411;429958225;26-Oct-22;X4;19206220;45
2022;11;411;429962402;10-Oct-22;X4;19206220;100
2022;11;411;429964076;12-Oct-22;X4;19206220;45
2022;11;411;429967317;6-Oct-22;X4;19206220;678
2022;11;411;429969981;20-Oct-22;X4;19206220;1380
2022;11;411;430004215;27-Oct-22;X4;19206220;1234
2022;11;411;430006789;10-Oct-22;X4;19206220;24
2022;11;411;430010966;4-Oct-22;X4;19206220;90
2022;11;411;429943441;12-Oct-22;X4;19206220;100
2022;11;411;429945905;10-Oct-22;X4;19206220;45
2022;11;411;429947579;12-Oct-22;X4;19206220;678
2022;11;411;429948356;2-Nov-22;X4;19206220;1380
2022;11;411;429950979;19-Oct-22;X4;19206220;1234
2022;11;411;429943441;10-Oct-22;X4;19206220;24
2022;11;411;429961625;4-Oct-22;X4;19206220;90
2022;11;411;429963299;12-Oct-22;X4;19206220;100
2022;11;411;429965753;8-Oct-22;X4;19206220;45
2022;11;411;429970717;10-Oct-22;X4;19206220;678
2022;11;411;429971504;8-Oct-22;X4;19206220;1380
2022;11;411;429971504;5-Oct-22;X4;19206220;1234
2022;11;411;428105154;6-Oct-22;X4;19206220;24
2022;11;411;425304334;5-Oct-22;X4;19206220;90
2022;11;411;425307685;6-Oct-22;X4;19206220;100
2022;11;411;425309249;2-Nov-22;X4;19206220;45
2022;11;411;426169908;4-Oct-22;X4;19206220;678
2022;11;411;420822968;12-Oct-22;X4;19206220;1380
2022;11;411;358761544;4-Oct-22;X4;19206220;1234
2022;11;411;423230258;13-Oct-22;X4;19206220;1380
2022;11;411;417304305;4-Oct-22;X4;19206220;1234
2022;11;411;435789326;4-Oct-22;X4;19206220;45
2022;11;411;435788549;4-Oct-22;X4;19206220;45
2022;11;411;432227746;4-Oct-22;X4;19206220;100
2022;11;411;440568449;4-Oct-22;X4;19206220;45
2022;11;411;805115318;4-Oct-22;X4;19206220;678
2022;11;411;347102609;4-Oct-22;X4;19206220;1380
2022;11;411;379950965;4-Oct-22;X4;19206220;1234
2022;11;411;419884200;4-Oct-22;X4;19206220;24
2022;11;411;396685023;4-Oct-22;X4;19206220;90
2022;11;411;359253273;4-Oct-22;X4;19206220;100
2022;11;411;974975567;4-Oct-22;X4;19206220;45
2022;11;411;342978445;4-Oct-22;X4;19206220;678
2022;11;411;346341193;4-Oct-22;X4;19206220;1380
2022;11;411;674175544;4-Oct-22;X4;19206220;1234
2022;11;411;372378004;4-Oct-22;X4;19206220;24
2022;11;411;440354918;4-Oct-22;X4;19206220;90
