ANIO_FACTURACION;MES_FACTURACION;CONCEPTO;CLIENTE;FECHA_GRABACION;BANCO;EXTRACTO;VALOR_PAGO
2022;12;411;429958225;11/28/2022;CSW;35598759;16970
2022;12;411;429958225;11/17/2022;CSW;35598759;16970
2022;12;411;429962402;11/22/2022;CSW;35598759;16970
2022;12;411;429964076;11/16/2022;CSW;35598759;16970
2022;12;411;429967317;11/28/2022;CSW;35598759;16970
2022;12;411;429969981;11/17/2022;CSW;35598759;16970
2022;12;411;430004215;11/22/2022;CSW;35598759;16970
2022;12;411;430006789;11/16/2022;CSW;35598759;16970
2022;12;411;430010966;11/28/2022;CSW;35598759;16970
2022;12;411;429943441;11/28/2022;CSW;35598759;17346
2022;12;411;429945905;11/17/2022;CSW;35598759;17346
2022;12;411;429947579;11/22/2022;CSW;35598759;17346
2022;12;411;429948356;11/16/2022;CSW;35598759;17346
2022;12;411;429950979;11/28/2022;CSW;35598759;17346
2022;12;411;429943441;11/28/2022;CSW;35598759;16970
2022;12;411;429961625;11/28/2022;CSW;35598759;17346
2022;12;411;429963299;11/28/2022;CSW;35598759;17346
2022;12;411;429965753;11/28/2022;CSW;35598759;17346
2022;12;411;429970717;11/28/2022;CSW;35598759;17346
2022;12;411;429971504;11/28/2022;CSW;35598759;17346
2022;12;411;429971504;11/28/2022;CSW;35598759;16970
2022;12;411;428105154;11/28/2022;CSW;35598759;16970
2022;12;411;425304334;11/28/2022;CSW;35598759;17346
2022;12;411;425307685;11/28/2022;CSW;35598759;17346
2022;12;411;425309249;11/28/2022;CSW;35598759;17346
2022;12;411;426169908;11/28/2022;CSW;35598759;20000
2022;12;411;420822968;11/28/2022;CSW;35598759;17346
2022;12;411;358761544;11/28/2022;CSW;35598759;17346
2022;12;411;423230258;11/28/2022;CSW;35598759;17346
2022;12;411;417304305;11/28/2022;CSW;35598759;17346
2022;12;411;435789326;11/17/2022;CSW;35598759;17346
2022;12;411;435788549;11/22/2022;CSW;35598759;17346
2022;12;411;432227746;11/16/2022;CSW;35598759;17346
2022;12;411;440568449;11/28/2022;CSW;35598759;16970
2022;12;411;805115318;11/28/2022;CSW;35598759;17346
2022;12;411;347102609;11/28/2022;CSW;35598759;17346
2022;12;411;379950965;11/28/2022;CSW;35598759;17346
2022;12;411;419884200;11/28/2022;CSW;35598759;17346
2022;12;411;396685023;11/28/2022;CSW;35598759;17346
2022;12;411;359253273;11/28/2022;CSW;35598759;19672
2022;12;411;974975567;11/28/2022;CSW;35598759;17346
2022;12;411;342978445;11/28/2022;CSW;35598759;17346
2022;12;411;346341193;11/28/2022;CSW;35598759;19672
2022;12;411;674175544;11/28/2022;CSW;35598759;19672
2022;12;411;372378004;11/28/2022;CSW;35598759;19672
2022;12;411;440354918;11/28/2022;CSW;35598759;17346
2022;12;411;439356726;11/28/2022;CSW;35598759;16970
2022;12;411;439354262;11/28/2022;CSW;35598759;16970
2022;12;411;439353485;11/28/2022;CSW;35598759;16970
2022;12;411;428163024;11/28/2022;CSW;35598759;17346
2022;12;411;427551790;11/28/2022;CSW;35598759;17346
2022;12;411;427552577;11/28/2022;CSW;35598759;17346
2022;12;411;423770769;11/28/2022;CSW;35598759;17346
2022;12;411;407088477;11/28/2022;CSW;35598759;17346
