"01"|REFERENCIA|VALOR|FECHA|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5
"02"|"455087"|16243|2022-12-14 09:17:52|||||
"02"|"455088"|16243|2022-12-14 09:17:52|||||
"02"|"455089"|16243|2022-12-14 09:17:52|||||
"02"|"455090"|16243|2022-12-14 09:17:52|||||
"02"|"455091"|16243|2022-12-14 09:17:52|||||
"02"|"455092"|16243|2022-12-14 09:17:52|||||
"02"|"455093"|16243|2022-12-14 09:17:52|||||
"02"|"455094"|16243|2022-12-14 09:17:52|||||
"02"|"455095"|16243|2022-12-14 09:17:52|||||
"02"|"455097"|16243|2022-12-14 09:17:52|||||
"03"|1|32971|2022-12-12 12:27:19|||||
