ANIO_FACTURACION;MES_FACTURACION;CONCEPTO;CLIENTE;FECHA_GRABACION;BANCO;EXTRACTO;VALOR_PAGO
2022;12;411;402640732;28-Nov-22;CSW;35598759;17346
2022;12;411;365093466;28-Nov-22;CSW;35598759;17346
2022;12;411;352701786;28-Nov-22;CSW;35598759;17346
2022;12;411;594455842;28-Nov-22;CSW;35598759;17346
2022;12;411;421479703;28-Nov-22;CSW;35598759;19672
2022;12;411;373693187;28-Nov-22;CSW;35598759;17346
2022;12;411;418109535;28-Nov-22;CSW;35598759;17346
2022;12;411;418111158;28-Nov-22;CSW;35598759;16970
2022;12;411;686658617;28-Nov-22;CSW;35598759;19672
2022;12;411;442939575;28-Nov-22;CSW;35598759;17346
2022;12;411;419402306;28-Nov-22;CSW;35598759;19672
2022;12;411;419401529;28-Nov-22;CSW;35598759;19672
2022;12;411;419403193;28-Nov-22;CSW;35598759;19672
2022;12;411;419404970;28-Nov-22;CSW;35598759;19672
2022;12;411;403019325;28-Nov-22;CSW;35598759;19672
2022;12;411;418080817;28-Nov-22;CSW;35598759;19672
2022;12;411;367987506;28-Nov-22;CSW;35598759;19672
2022;12;411;392103846;28-Nov-22;CSW;35598759;19672
2022;12;411;390407557;28-Nov-22;CSW;35598759;19672
2022;12;411;302794353;28-Nov-22;CSW;35598759;19672
2022;12;411;419294407;28-Nov-22;CSW;35598759;19224
2022;12;411;118074469;28-Nov-22;CSW;35598759;19672
2022;12;411;118076923;28-Nov-22;CSW;35598759;19672
2022;12;411;324554535;28-Nov-22;CSW;35598759;19672
2022;12;411;324556009;28-Nov-22;CSW;35598759;19672
2022;12;411;424198030;28-Nov-22;CSW;35598759;19672
2022;12;411;429409622;28-Nov-22;CSW;35598759;19672
2022;12;411;372961338;28-Nov-22;CSW;35598759;19672
2022;12;411;336130066;28-Nov-22;CSW;35598759;19672
2022;12;411;424355627;28-Nov-22;CSW;35598759;19672
2022;12;411;407065288;28-Nov-22;CSW;35598759;19672
