"01"|REFERENCIA|VALOR|FECHA|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5
"02"|"436078"|55371|2023-02-20 09:11:50|||||
"02"|"465507"|55371|2023-02-20 09:12:51|||||
"02"|"464253"|54075|2023-02-20 09:13:51|||||
"02"|"559334"|55371|2023-02-20 09:14:52|||||
"02"|"551986"|55371|2023-02-20 09:15:53|||||
"02"|"465320"|55371|2023-02-20 09:16:53|||||
"02"|"544483"|27686|2023-02-20 09:17:54|||||
"02"|"466741"|55371|2023-02-20 09:18:54|||||
"02"|"436277"|55371|2023-02-20 09:19:53|||||
"02"|"458568"|55371|2023-02-20 09:20:55|||||
"03"|10|524729|2022-12-12 12:27:19|||||
